               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10311,             0.04548,            0.017835,             0.22492,             0.24004,             0.15476,            0.049745,            0.088111,            0.028588,            0.013942,            0.070034,           0.0033296,           0.0033296
                   1,            0.082322,            0.038097,            0.010134,             0.31061,             0.34883,              0.2388,            0.078087,            0.077975,            0.028076,           0.0086525,            0.039902,            0.006531,            0.006531
                   2,            0.076529,             0.03697,           0.0076346,             0.46832,             0.47843,              0.3928,             0.16673,            0.070453,            0.025006,           0.0040703,           0.0096377,           0.0096004,           0.0096004
                   3,            0.073328,            0.036381,           0.0065637,             0.47618,             0.48084,             0.38359,             0.12882,            0.072648,            0.024156,           0.0030826,            0.009406,            0.009406,            0.009406
                   4,            0.071292,            0.035766,           0.0056192,             0.49624,             0.51696,             0.40983,             0.13453,            0.071424,            0.023654,           0.0024561,            0.009406,            0.009406,            0.009406
                   5,            0.070436,             0.03595,           0.0051636,             0.51314,             0.54272,             0.44047,             0.18702,            0.066823,            0.024201,           0.0036338,            0.009208,            0.009208,            0.009208
                   6,            0.069061,            0.035498,           0.0046588,             0.53114,             0.59484,             0.47903,             0.20163,            0.065092,            0.023626,           0.0020264,             0.00901,             0.00901,             0.00901
                   7,            0.068666,            0.035045,           0.0044767,             0.53956,             0.60534,             0.49032,             0.18298,            0.066969,            0.023383,           0.0017112,            0.008812,            0.008812,            0.008812
                   8,            0.068243,            0.035097,           0.0043876,             0.54897,             0.59484,             0.48668,             0.21124,            0.064341,            0.023192,           0.0020509,            0.008614,            0.008614,            0.008614
                   9,            0.067563,            0.034553,           0.0042656,             0.56483,             0.61793,             0.50338,             0.22177,             0.06312,            0.023252,           0.0015172,            0.008416,            0.008416,            0.008416
                  10,            0.066877,            0.034436,           0.0038864,             0.58134,             0.61944,             0.50965,             0.24586,             0.06128,            0.023453,           0.0014301,            0.008218,            0.008218,            0.008218
                  11,            0.066795,            0.034527,           0.0038927,             0.57484,             0.62426,             0.51705,             0.24783,              0.0614,            0.022891,           0.0014492,             0.00802,             0.00802,             0.00802
                  12,            0.066166,            0.033986,           0.0037043,             0.57772,             0.62892,             0.52485,             0.25301,            0.060354,            0.022898,            0.001542,            0.007822,            0.007822,            0.007822
                  13,            0.065458,             0.03403,           0.0033784,             0.58621,             0.65049,             0.54124,             0.27278,            0.059309,            0.022839,           0.0013695,            0.007624,            0.007624,            0.007624
                  14,            0.065553,            0.033957,            0.003497,             0.58542,             0.64048,             0.52645,             0.25319,            0.060569,            0.022929,           0.0014084,            0.007426,            0.007426,            0.007426
                  15,            0.065497,            0.034036,           0.0034506,             0.58844,             0.65889,             0.54006,             0.27235,            0.058678,            0.022699,           0.0012296,            0.007228,            0.007228,            0.007228
                  16,            0.064844,            0.034407,           0.0032553,             0.60081,             0.65824,             0.54273,             0.26729,            0.059193,             0.02268,           0.0011833,             0.00703,             0.00703,             0.00703
                  17,            0.064687,            0.034017,            0.003178,             0.60319,             0.66536,             0.55334,             0.28532,            0.057956,            0.022724,           0.0013072,            0.006832,            0.006832,            0.006832
                  18,            0.064432,            0.033788,           0.0031716,             0.60692,             0.66456,             0.55434,             0.28481,            0.057645,            0.022577,           0.0013327,            0.006634,            0.006634,            0.006634
                  19,            0.064595,            0.033657,           0.0032178,              0.6021,             0.66482,             0.55386,             0.28496,            0.057645,            0.022688,           0.0014304,            0.006436,            0.006436,            0.006436
                  20,            0.064335,            0.033461,            0.003116,             0.60745,             0.66708,             0.55641,             0.28918,            0.057578,            0.022554,           0.0012392,            0.006238,            0.006238,            0.006238
                  21,            0.063862,            0.033385,           0.0029316,             0.61318,              0.6683,             0.56011,             0.28458,            0.057912,            0.022532,           0.0011697,             0.00604,             0.00604,             0.00604
                  22,            0.064033,            0.033873,           0.0027993,             0.61628,              0.6735,             0.56503,             0.28909,            0.057499,            0.022513,           0.0011151,            0.005842,            0.005842,            0.005842
                  23,            0.063463,            0.033171,           0.0029537,             0.61742,             0.66922,             0.56229,             0.28831,            0.057468,            0.022486,           0.0012508,            0.005644,            0.005644,            0.005644
                  24,            0.063231,            0.033697,           0.0027159,             0.61579,             0.67572,             0.56687,             0.29394,            0.056979,            0.022498,           0.0011528,            0.005446,            0.005446,            0.005446
                  25,            0.063402,            0.033559,            0.002655,             0.61789,             0.68029,             0.57106,             0.29835,            0.056621,            0.022513,           0.0010805,            0.005248,            0.005248,            0.005248
                  26,            0.063249,            0.033673,           0.0026333,             0.62198,             0.68172,             0.57087,             0.29848,            0.056458,            0.022471,           0.0011009,             0.00505,             0.00505,             0.00505
                  27,            0.063361,            0.033431,           0.0026392,             0.62159,             0.68354,             0.57134,             0.29958,            0.056392,            0.022442,           0.0010335,            0.004852,            0.004852,            0.004852
                  28,            0.062647,            0.032977,           0.0025929,             0.62444,             0.68401,             0.57213,             0.30027,            0.056439,            0.022418,          0.00096534,            0.004654,            0.004654,            0.004654
                  29,            0.062507,             0.03288,           0.0025294,             0.62329,             0.68541,             0.57068,             0.30057,            0.056376,            0.022394,           0.0009994,            0.004456,            0.004456,            0.004456
                  30,            0.062203,            0.032739,           0.0023371,             0.62718,             0.68585,              0.5717,             0.30341,            0.056155,            0.022362,            0.001031,            0.004258,            0.004258,            0.004258
                  31,            0.062481,            0.033073,           0.0024065,              0.6265,             0.68899,             0.57122,             0.30365,            0.056041,            0.022351,           0.0010064,             0.00406,             0.00406,             0.00406
                  32,            0.062131,            0.033093,           0.0022823,             0.62698,             0.68947,             0.57117,             0.30358,            0.055974,            0.022346,          0.00097894,            0.003862,            0.003862,            0.003862
                  33,             0.06241,            0.033467,           0.0022723,             0.62794,             0.69076,             0.56995,             0.30319,            0.055921,            0.022345,          0.00095485,            0.003664,            0.003664,            0.003664
                  34,            0.061959,            0.032949,           0.0020308,             0.62574,             0.69191,             0.57021,             0.30378,            0.055875,            0.022338,          0.00092996,            0.003466,            0.003466,            0.003466
                  35,            0.061694,            0.032941,           0.0022004,             0.62611,              0.6934,             0.57059,             0.30467,              0.0558,            0.022338,          0.00092267,            0.003268,            0.003268,            0.003268
                  36,            0.061462,            0.032973,           0.0021439,             0.62598,             0.69465,             0.57034,             0.30585,            0.055738,            0.022334,          0.00091066,             0.00307,             0.00307,             0.00307
                  37,            0.061359,            0.032445,           0.0020389,             0.62628,             0.69407,             0.57138,             0.30568,            0.055707,            0.022329,          0.00090677,            0.002872,            0.002872,            0.002872
                  38,            0.061076,            0.032836,           0.0019968,             0.62765,             0.69325,             0.57068,             0.30586,            0.055666,            0.022321,          0.00090143,            0.002674,            0.002674,            0.002674
                  39,             0.06136,            0.032908,           0.0018914,             0.62479,             0.69613,             0.57184,             0.30684,            0.055612,            0.022311,          0.00089905,            0.002476,            0.002476,            0.002476
                  40,            0.060535,            0.032245,           0.0017683,             0.62741,             0.69656,             0.57239,             0.30738,            0.055565,            0.022304,          0.00089369,            0.002278,            0.002278,            0.002278
                  41,            0.060668,             0.03284,            0.001728,             0.62826,              0.6971,             0.57223,             0.30778,            0.055515,            0.022296,          0.00088894,             0.00208,             0.00208,             0.00208
                  42,            0.060232,            0.032373,           0.0018387,             0.62843,             0.69778,             0.57251,             0.30866,            0.055453,            0.022288,          0.00088273,            0.001882,            0.001882,            0.001882
                  43,            0.060542,            0.032424,           0.0017562,             0.62897,             0.69855,             0.57317,             0.30913,            0.055386,            0.022279,          0.00087745,            0.001684,            0.001684,            0.001684
                  44,            0.060616,            0.032529,           0.0016607,             0.62984,             0.69854,             0.57368,             0.30952,            0.055337,             0.02227,          0.00087402,            0.001486,            0.001486,            0.001486
                  45,            0.059892,            0.032127,            0.001564,             0.63029,             0.69886,             0.57427,             0.31012,            0.055297,            0.022262,            0.000868,            0.001288,            0.001288,            0.001288
